Date,Open,High,Low,Close,Adj Close,Volume
2008-02-15,91.610001,92.070000,91.459999,91.879997,59.212753,3687800
2008-02-19,91.139999,91.699997,90.639999,90.949997,58.613468,2911600
2008-02-20,90.620003,91.580002,90.559998,91.580002,59.019455,2550100
2008-02-21,92.080002,92.849998,92.050003,92.550003,59.644608,4197200
2008-02-22,92.489998,92.849998,91.870003,92.019997,59.303032,1959700
2008-02-25,91.949997,92.139999,90.650002,91.080002,58.697227,3460900
2008-02-26,90.959999,91.339996,90.730003,91.110001,58.716530,2618900
2008-02-27,91.430000,91.570000,90.610001,91.190002,58.768173,2494400
2008-02-28,92.339996,92.839996,92.190002,92.809998,59.812149,3410900
2008-02-29,93.650002,94.459999,93.519997,94.230003,60.727299,3822000
2008-03-03,93.669998,94.199997,93.250000,93.639999,60.570755,2036900
2008-03-04,93.940002,94.120003,92.529999,92.730003,59.982113,3401100
2008-03-05,93.059998,93.059998,91.500000,91.620003,59.264126,3871200
2008-03-06,91.820000,92.440002,91.669998,92.110001,59.581081,1342600
2008-03-07,93.290001,93.349998,91.739998,92.230003,59.658684,3601300
2008-03-10,92.709999,94.129997,92.610001,93.589996,60.538425,3579000
2008-03-11,93.000000,93.029999,92.209999,92.790001,60.020947,3309200
2008-03-12,93.129997,94.680000,92.970001,94.580002,61.178799,4752900
2008-03-13,95.029999,95.190002,93.260002,93.839996,60.700092,5763500
2008-03-14,94.620003,95.809998,94.620003,95.000000,61.450508,6174800
2008-03-17,95.589996,96.309998,95.309998,95.730003,61.922649,3329300
2008-03-18,95.300003,96.160004,94.949997,95.360001,61.683357,4022300
2008-03-19,95.120003,97.470001,95.120003,96.940002,62.705288,5206400
2008-03-20,97.000000,97.750000,96.870003,97.180000,62.860584,3905900
2008-03-24,96.480003,96.480003,95.199997,95.300003,61.644485,5596200
2008-03-25,95.379997,95.820000,95.279999,95.699997,61.903229,2038200
2008-03-26,95.779999,96.199997,95.230003,95.300003,61.644485,1652000
2008-03-27,94.639999,95.360001,94.540001,94.629997,61.211124,2405700
2008-03-28,95.089996,95.559998,94.750000,95.550003,61.806225,1745500
2008-03-31,96.110001,96.320000,95.669998,95.889999,62.026150,2546300
2008-04-01,94.809998,94.849998,93.779999,93.930000,61.016655,3821800
2008-04-02,93.989998,94.860001,93.989998,94.129997,61.146603,3794200
2008-04-03,94.500000,94.669998,94.120003,94.339996,61.283028,2839100
2008-04-04,95.169998,95.559998,94.989998,95.199997,61.841633,1745200
2008-04-07,94.620003,94.779999,93.900002,94.699997,61.516846,2231800
2008-04-08,95.180000,95.239998,94.260002,94.370003,61.302505,1305200
2008-04-09,94.559998,95.639999,94.550003,95.349998,61.939102,2883600
2008-04-10,95.309998,95.500000,94.570000,95.029999,61.731220,1846500
2008-04-11,95.599998,95.919998,95.470001,95.669998,62.146965,1987700
2008-04-14,95.339996,95.699997,94.989998,95.110001,61.783188,3195300
2008-04-15,94.419998,94.580002,93.900002,93.930000,61.016655,2821600
2008-04-16,93.800003,94.059998,92.430000,93.010002,60.419056,4691100
2008-04-17,92.980003,93.180000,92.239998,92.849998,60.315147,2020000
2008-04-18,92.000000,92.879997,91.820000,92.769997,60.263115,2199700
2008-04-21,92.410004,93.279999,92.300003,93.139999,60.503521,2805800
2008-04-22,92.910004,93.669998,92.910004,93.459999,60.711353,1799700
2008-04-23,93.089996,93.629997,92.529999,93.150002,60.510002,1221100
2008-04-24,92.260002,92.459999,91.809998,92.360001,59.996826,3213600
2008-04-25,92.139999,92.250000,91.500000,91.820000,59.646008,1742000
2008-04-28,91.529999,92.349998,91.410004,92.099998,59.827915,1883900
2008-04-29,92.379997,92.860001,92.150002,92.449997,60.055241,1269100
2008-04-30,92.419998,93.199997,91.849998,93.110001,60.484032,2827500
2008-05-01,93.440002,93.650002,92.379997,92.779999,60.487904,3226500
2008-05-02,91.779999,92.410004,91.540001,91.610001,59.725140,2730800
2008-05-05,91.860001,91.870003,91.139999,91.610001,59.725140,1309300
2008-05-06,92.010002,92.080002,90.790001,90.949997,59.294865,4037500
2008-05-07,90.730003,91.430000,90.620003,91.339996,59.549133,3876200
2008-05-08,91.440002,92.199997,91.419998,92.160004,60.083714,2829500
2008-05-09,92.730003,92.870003,92.209999,92.500000,60.305336,2064300
2008-05-12,92.760002,93.160004,92.349998,92.360001,60.214081,1947400
2008-05-13,91.830002,92.050003,91.309998,91.349998,59.555618,2123300
2008-05-14,92.000000,92.010002,90.720001,91.389999,59.581707,2600900
2008-05-15,91.169998,92.330002,91.089996,92.220001,60.122837,2164300
2008-05-16,91.879997,92.889999,91.779999,91.839996,59.875050,1902600
2008-05-19,92.260002,92.260002,91.300003,91.959999,59.953304,1348200
2008-05-20,92.440002,92.500000,91.900002,92.440002,60.266254,1466000
2008-05-21,92.050003,92.669998,91.860001,92.459999,60.279308,1762100
2008-05-22,91.930000,91.930000,90.839996,91.370003,59.568695,2855900
2008-05-23,91.830002,92.300003,91.699997,91.769997,59.829460,1802000
2008-05-27,91.379997,91.559998,90.980003,91.150002,59.425247,1985800
2008-05-28,90.540001,90.660004,90.139999,90.339996,58.897167,3250700
2008-05-29,90.010002,90.099998,89.139999,89.690002,58.473389,3302400
2008-05-30,90.129997,90.440002,90.059998,90.279999,58.858044,2514600
2008-06-02,89.980003,90.639999,89.620003,90.300003,59.085083,3076400
2008-06-03,90.059998,91.410004,89.809998,90.949997,59.510387,2447700
2008-06-04,91.389999,91.389999,89.900002,90.139999,58.980381,2813000
2008-06-05,89.820000,90.029999,89.449997,89.599998,58.627068,2632200
2008-06-06,90.440002,91.089996,90.209999,90.760002,59.386021,3864800
2008-06-09,90.480003,91.389999,90.190002,90.760002,59.386021,1812000
2008-06-10,90.650002,90.709999,89.699997,90.169998,59.000011,1935300
2008-06-11,90.050003,90.720001,89.709999,89.959999,58.862621,2265400
2008-06-12,89.559998,89.639999,88.820000,89.059998,58.273754,4413100
